user1_BisqueCassowary,BisqueCassowary,9,1511918043000,2017-11-28 17:21:28.557
user10_FuchsiaEmu,FuchsiaEmu,17,1511918489000,2017-11-28 17:21:29.072
user15_AuburnKangaroo,AuburnKangaroo,4,1511918489000,2017-11-28 17:21:29.072
user0_FuchsiaEmu,FuchsiaEmu,2,1511918489000,2017-11-28 17:21:29.072
user12_FuchsiaPossum,FuchsiaPossum,13,1511918489000,2017-11-28 17:21:29.072
Robot-10,AuburnEchidna,8,1511918489000,2017-11-28 17:21:29.072
user2_AntiqueBrassPossum,AntiqueBrassPossum,19,1511918489000,2017-11-28 17:21:29.072
user14_BeigePlatypus,BeigePlatypus,17,1511918489000,2017-11-28 17:21:29.072
user6_AppleGreenBandicoot,AppleGreenBandicoot,7,1511918489000,2017-11-28 17:21:29.072
Robot-8,AmethystPossum,5,1511918489000,2017-11-28 17:21:29.072
user15_BeigePlatypus,BeigePlatypus,11,1511918489000,2017-11-28 17:21:29.072
user4_AuburnKangaroo,AuburnKangaroo,19,1511918489000,2017-11-28 17:21:29.073
user8_AliceBlueCassowary,AliceBlueCassowary,1,1511918489000,2017-11-28 17:21:29.073
user12_BeigePlatypus,BeigePlatypus,13,1511918489000,2017-11-28 17:21:29.073
user5_AppleGreenBandicoot,AppleGreenBandicoot,15,1511918489000,2017-11-28 17:21:29.073
user11_FuchsiaPossum,FuchsiaPossum,6,1511918489000,2017-11-28 17:21:29.073
user7_AuburnKangaroo,AuburnKangaroo,11,1511918489000,2017-11-28 17:21:29.073
user1_AliceBlueCassowary,AliceBlueCassowary,14,1511918489000,2017-11-28 17:21:29.073
Robot-2,BisqueCassowary,8,1511918489000,2017-11-28 17:21:29.073
user6_ArmyGreenCaneToad,ArmyGreenCaneToad,17,1511918489000,2017-11-28 17:21:29.073
user4_ArmyGreenMarmot,ArmyGreenMarmot,14,1511918489000,2017-11-28 17:21:29.073
user9_BeigeCockatoo,BeigeCockatoo,3,1511918489000,2017-11-28 17:21:29.073
user2_AppleGreenBandicoot,AppleGreenBandicoot,15,1511918489000,2017-11-28 17:21:29.073
user5_FuchsiaPossum,FuchsiaPossum,10,1511918489000,2017-11-28 17:21:29.073
user3_AppleGreenBandicoot,AppleGreenBandicoot,7,1511918489000,2017-11-28 17:21:29.073
user9_AlmondBandicoot,AlmondBandicoot,10,1511918489000,2017-11-28 17:21:29.073
user10_FuchsiaEmu,FuchsiaEmu,9,1511918489000,2017-11-28 17:21:29.073
user7_AmaranthWallaby,AmaranthWallaby,8,1511918489000,2017-11-28 17:21:29.074
user12_AmaranthWallaby,AmaranthWallaby,4,1511918489000,2017-11-28 17:21:29.074
user13_AntiqueBrassPossum,AntiqueBrassPossum,3,1511918489000,2017-11-28 17:21:29.074
user9_FuchsiaEmu,FuchsiaEmu,10,1511918489000,2017-11-28 17:21:29.074
user4_BeigePlatypus,BeigePlatypus,1,1511918489000,2017-11-28 17:21:29.074
